"번호",부문,업종,업체명,유상여부,2021년,2022년,2023년,2024년,2025년
1,전환,전기업,(주)에스파워,Y,1656451,1656451,1656451,2375944,2375944,
2,산업,"비료, 농약 및 살균ㆍ살충제 제조업",남해화학(주),N,67752,67752,67752,67118,67118,
3,산업,기초 화학물질 제조업,그린케미칼 주식회사,N,65261,65261,65261,64650,64650,
4,산업,금속 주조업,대동금속(주),Y,36204,36204,36204,35865,35865,
5,산업,전자 부품 제조업,롯데에너지머티리얼즈(주),N,122416,122416,122416,121269,121269,
6,전환,전기업,지에스이피에스,Y,2543033,2543033,2543033,3656076,3656076,
7,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",위드인천에너지(주),Y,38881,38881,38881,35751,35751,
8,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",김천에너지서비스주식회사,Y,566519,566519,566519,546149,546149,
9,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",주식회사 대륜발전,Y,435528,435528,435528,611310,611310,
10,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",나래에너지서비스 주식회사,Y,1855149,1855149,1855149,2630220,2630220,
11,폐기물,폐기물 처리업,이천시,N,101284,101284,101284,95385,95385,
12,산업,전자 부품 제조업,삼성전기 주식회사,N,471976,471976,471976,467556,467556,
13,산업,반도체 제조업,스템코(주),N,60076,60076,60076,59513,59513,
14,건물,일반 및 생활 숙박시설 운영업,주식회사 소노인터내셔널,Y,32357,32357,32357,31453,31453,
15,산업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",삼성에스디에스(주),Y,117639,117639,117639,116537,116537,
16,수송,철도 운송업,한국철도공사,N,2035174,2035174,2035174,2035174,2035174,
17,수송,육상 여객 운송업,(주)천일고속,N,30978,30978,30978,30978,30978,
18,수송,육상 여객 운송업,수원여객운수(주),N,50496,50496,50496,50496,50496,
19,산업,기초 화학물질 제조업,에어프로덕츠코리아 주식회사,N,943141,943141,943141,934308,934308,
20,산업,기초 화학물질 제조업,한화임팩트 주식회사,N,460177,460177,460177,455867,455867,
21,산업,합성고무 및 플라스틱 물질 제조업,코오롱인더스트리 주식회사,N,668745,668745,668745,662482,662482,
22,산업,합성고무 및 플라스틱 물질 제조업,코오롱이앤피(주),N,137577,137577,137577,136288,136288,
23,산업,합성고무 및 플라스틱 물질 제조업,한국엔지니어링플라스틱,N,197345,197345,197345,195496,195496,
24,산업,반도체 제조업,에스케이키파운드리 주식회사,N,356462,356462,356462,353124,353124,
25,산업,고무제품 제조업,평화산업(주),Y,29012,29012,29012,28740,28740,
26,전환,전기업,포천민자발전 주식회사,Y,1493248,1493248,1493248,2144333,2144333,
27,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",(주)씨텍,Y,475206,475206,475206,458120,458120,
28,수송,육상 여객 운송업,공항철도(주),N,68911,68911,68911,68911,68911,
29,수송,항공 여객 운송업,제주항공(주),Y,235917,235917,235917,235917,235917,
30,수송,육상 여객 운송업,(주)한일고속,N,110331,110331,110331,110331,110331,
31,수송,육상 여객 운송업,김포운수(주),N,25664,25664,25664,25664,25664,
32,수송,도로 화물 운송업,대신정기화물자동차(주),Y,56195,56195,56195,56195,56195,
33,산업,"펄프, 종이 및 판지 제조업",주식회사 한국알스트롬,N,52162,52162,52162,51673,51673,
34,산업,알코올 음료 제조업,주식회사 진로발효,Y,37140,37140,37140,36792,36792,
35,산업,1차 비철금속 제조업,주식회사 영풍,N,1201332,1201332,1201332,1190081,1190081,
36,산업,"펄프, 종이 및 판지 제조업",진영페이퍼 주식회사,N,80493,80493,80493,79739,79739,
