"번호",부문,업종,업체명,추가 할당량(2021년),추가 할당량(2022년),추가 할당량(2023년),추가 할당량(2024년),추가 할당량(2025년)
1,산업,기타 식품 제조업,(주)MSC,0,0,456,1557,0
2,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",GS파워,211092,1188503,234159,1761152,0
3,폐기물,폐기물 처리업,강릉시,0,0,12586,32750,0
4,폐기물,폐기물 처리업,거제시,180,222,266,2229,0
5,폐기물,폐기물 처리업,경산시,0,0,3016,4471,0
6,폐기물,폐기물 처리업,경주시,0,7,229,182,0
7,폐기물,폐기물 처리업,고양시,15,287,300,285,0
8,폐기물,폐기물 처리업,광양시,0,0,0,8593,0
9,폐기물,폐기물 처리업,구미시,31013,21527,9712,25097,0
10,폐기물,폐기물 처리업,군산시,31239,35883,37427,41064,0
11,폐기물,폐기물 처리업,군포시,4453,4579,4748,4643,0
12,폐기물,"하수, 폐수 및 분뇨 처리업",김천시,177,55,158,154,0
13,폐기물,폐기물 처리업,김포시,0,25876,27255,26597,0
14,폐기물,폐기물 처리업,김해시,122,880,2174,941,0
15,산업,의약품 제조업,녹십자,21430,21723,19407,21375,0
16,폐기물,폐기물 처리업,목포시,0,10332,11007,10663,0
17,폐기물,폐기물 처리업,보령시,8306,8426,9055,8635,0
18,폐기물,"하수, 폐수 및 분뇨 처리업",부천시,0,19,19,17,0
19,폐기물,폐기물 처리업,수원시,330,25246,18289,7978,0
20,폐기물,"하수, 폐수 및 분뇨 처리업",순천시,0,0,31,33,0
21,폐기물,폐기물 처리업,시흥시,2737,1867,1969,4188,0
22,폐기물,폐기물 처리업,아산시,44264,43450,41823,34760,0
23,폐기물,"하수, 폐수 및 분뇨 처리업",안양시,3,0,0,235,0
24,폐기물,폐기물 처리업,양산시,1,0,0,274,0
25,폐기물,폐기물 처리업,양주시,0,1319,1320,1476,0
26,폐기물,폐기물 처리업,영주시,0,0,0,8539,0
27,폐기물,폐기물 처리업,용인시,5900,6776,6265,5531,0
28,폐기물,"하수, 폐수 및 분뇨 처리업",원주시,1156,1899,1871,1860,0
29,폐기물,폐기물 처리업,이천시,2774,561,589,971,0
30,폐기물,폐기물 처리업,익산시,846,1215,0,1237,0
31,폐기물,폐기물 처리업,전주시,0,25,65,59,0
32,폐기물,"하수, 폐수 및 분뇨 처리업",제천시,0,0,343,258,0
33,폐기물,폐기물 처리업,진주시,0,19736,62205,57868,0
34,폐기물,폐기물 처리업,창원시,113,0,0,1035,0
35,폐기물,폐기물 처리업,천안시,199,6125,236,396,0
36,폐기물,폐기물 처리업,청주시,893,1047,1573,21862,0
37,폐기물,폐기물 처리업,춘천시,378,310,367,0,0
38,폐기물,폐기물 처리업,충주시,153,0,1299,0,0
39,폐기물,폐기물 처리업,통영시,6146,5670,5669,5457,0
40,폐기물,폐기물 처리업,파주시,0,70,73,2030,0
41,폐기물,"하수, 폐수 및 분뇨 처리업",평택시,688,3916,4970,5828,0
42,폐기물,폐기물 처리업,포천시,0,0,329,806,0
43,폐기물,폐기물 처리업,포항시,1285,1452,1279,1347,0
44,폐기물,폐기물 처리업,하남시,2712,3094,3340,3318,0
45,폐기물,폐기물 처리업,화성시,2993,6637,7839,11724,0
46,산업,나무제품 제조업,(주)SUN&L,0,0,0,3057,0
47,산업,석유 정제품 제조업,S-Oil(주),311750,251649,246706,394227,0
48,산업,선박 및 보트 건조업,(주)건화,14157,15502,13125,9867,0
49,산업,1차 비철금속 제조업,(주)동남,0,1974,1863,1571,0
50,수송,도로 화물 운송업,(주)동방,9690,13085,13697,13542,0
51,산업,유리 및 유리제품 제조업,(주)벽산,1027,6264,36624,33759,0
52,산업,절연선 및 케이블 제조업,(주)삼동,0,0,288,78,0
53,산업,"내화, 비내화 요업제품 제조업",(주)삼현,0,0,76,0,0
54,산업,기타 식품 제조업,(주)서흥,6929,3152,2357,2647,0
55,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",(주)씨텍,205430,357518,389750,327374,0
56,산업,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",(주)우룡,0,1024,4495,0,0
57,산업,자동차 신품 부품 제조업,(주)코넥,0,0,0,3105,0
58,산업,기타 금속 가공제품 제조업,(주)태상,0,0,1525,0,0
59,산업,"도축, 육류 가공 및 저장 처리업",(주)하림,15077,15043,15210,15170,0
60,산업,기타 화학제품 제조업,(주)한화,0,17709,20574,23997,0
61,수송,항공 여객 운송업,대한항공,0,3040,0,0,0
62,산업,기초 의약 물질 및 생물학적 제제 제조업,셀트리온,0,0,4935,6731,0
63,산업,전자 부품 제조업,엘앤에프,55767,85779,113806,106981,0
64,폐기물,"하수, 폐수 및 분뇨 처리업",의정부시,3,4,9,4,0
65,산업,기초 화학물질 제조업,재원산업,3288,3514,0,0,0
66,산업,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",케이씨씨,0,0,26657,12297,0
67,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",(주)삼천리,4895,5855,13538,10058,0
68,건물,종합 소매업,(주)신세계,0,0,0,601,0
69,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",(주)엔이티,8677,0,0,0,0
70,산업,기타 식품 제조업,(주)오뚜기,34304,33961,33377,34216,0
71,산업,기타 식품 제조업,(주)오리온,0,0,0,225,0
72,건물,종합 소매업,(주)이마트,0,0,589,40710,0
73,산업,"도축, 육류 가공 및 저장 처리업",(주)참프레,10561,8879,8776,8871,0
74,산업,자동차 신품 부품 제조업,(주)코다코,0,16696,17246,15920,0
75,산업,특수 목적용 기계 제조업,세메스(주),0,4040,3192,6561,0
