"번호",부문,업종,업체명,이행연도,상쇄배출권 발행수량
1,폐기물,폐기물 처리업,부산광역시,2024년,19726
2,산업,1차 비철금속 제조업,주식회사 대창,2024년,1047
3,폐기물,폐기물 처리업,고양시,2023년,8000
4,폐기물,폐기물 처리업,코어엔텍 주식회사,2023년,12100
5,폐기물,폐기물 처리업,리뉴에너지경인 주식회사,2023년,3901
6,전환,전기업,한국전력공사,2023년,6658
7,전환,전기업,한국전력공사,2023년,987
8,산업,기초 화학물질 제조업,티케이지휴켐스 주식회사,2023년,3176
9,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",한국토지주택공사,2023년,11834
10,전환,전기업,한국남부발전 주식회사,2022년,300000
11,전환,전기업,한국남부발전 주식회사,2022년,479938
12,산업,석유 정제품 제조업,에이치디현대오일뱅크,2022년,3979
13,전환,전기업,포천파워(주),2022년,56587
14,산업,1차 철강 제조업,(주)SIMPAC,2022년,24346
15,전환,전기업,한국전력공사,2022년,46388
16,산업,기초 화학물질 제조업,한화토탈에너지스 주식회사,2023년,2779
17,산업,기초 화학물질 제조업,한화토탈에너지스 주식회사,2023년,92684
18,폐기물,폐기물 처리업,부산광역시,2023년,19661
19,폐기물,폐기물 처리업,부산광역시,2022년,339
20,폐기물,폐기물 처리업,부산광역시,2022년,40000
21,전환,"증기, 냉ㆍ온수 및 공기 조절 공급업",서울에너지공사,2022년,7000
22,산업,기초 화학물질 제조업,한화토탈에너지스 주식회사,2022년,2779
23,전환,연료용 가스 제조 및 배관공급업,한국가스공사,2022년,1950
24,폐기물,폐기물 처리업,코어엔텍 주식회사,2022년,5631
25,산업,전기 통신업,에스케이텔레콤 주식회사,2022년,55067
26,전환,전기업,씨지앤율촌전력 주식회사,2022년,110044
27,산업,기초 화학물질 제조업,티케이지휴켐스 주식회사,2022년,54
28,전환,전기업,한국서부발전,2023년,167318
29,전환,전기업,한국서부발전,2023년,390652
30,폐기물,폐기물 처리업,씨이케이 주식회사,2022년,8000
