지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm)
115,울릉도독도(감),2020-06-02,414.7974346
115,울릉도독도(감),2020-06-07,411.7148838
115,울릉도독도(감),2020-06-08,410.8947802
115,울릉도독도(감),2020-06-15,410.6829085
115,울릉도독도(감),2020-06-16,403.0075944
115,울릉도독도(감),2020-06-17,403.8194031
115,울릉도독도(감),2020-06-20,406.4404271
115,울릉도독도(감),2020-06-21,405.4202951
115,울릉도독도(감),2020-06-22,405.6914887
115,울릉도독도(감),2020-07-01,407.3761135
115,울릉도독도(감),2020-07-02,405.8724259
115,울릉도독도(감),2020-07-20,419.3431493
115,울릉도독도(감),2020-08-05,414.7634038
115,울릉도독도(감),2020-08-06,414.3782691
115,울릉도독도(감),2020-08-09,413.8700438
115,울릉도독도(감),2020-08-10,413.615091
115,울릉도독도(감),2020-08-11,415.3793168
115,울릉도독도(감),2020-08-27,412.9349204
115,울릉도독도(감),2020-08-28,411.8187589
115,울릉도독도(감),2020-09-03,411.6453457
115,울릉도독도(감),2020-09-04,411.2327869
115,울릉도독도(감),2020-09-06,410.662693
115,울릉도독도(감),2020-09-07,414.504361
115,울릉도독도(감),2020-09-08,414.5346908
115,울릉도독도(감),2020-09-12,409.6842859
115,울릉도독도(감),2020-09-20,415.9905661
115,울릉도독도(감),2020-09-23,414.9836377
115,울릉도독도(감),2020-09-24,413.7348313
115,울릉도독도(감),2020-09-25,413.5388118
115,울릉도독도(감),2020-09-26,411.8355639
115,울릉도독도(감),2020-09-27,409.8823639
115,울릉도독도(감),2020-09-28,410.3892564
115,울릉도독도(감),2020-09-29,410.1283527
115,울릉도독도(감),2020-10-01,414.7906482
115,울릉도독도(감),2020-10-02,413.4132222
115,울릉도독도(감),2020-10-05,415.6708468
115,울릉도독도(감),2020-10-06,414.7925147
115,울릉도독도(감),2020-10-07,414.386589
115,울릉도독도(감),2020-10-08,413.1150721
115,울릉도독도(감),2020-10-09,413.2604228
115,울릉도독도(감),2020-10-10,412.6459773
115,울릉도독도(감),2020-10-11,411.7453394
115,울릉도독도(감),2020-10-12,411.5909195
115,울릉도독도(감),2020-10-13,416.809011
115,울릉도독도(감),2020-10-14,416.5487022
115,울릉도독도(감),2020-10-15,414.8947233
115,울릉도독도(감),2020-10-16,415.0113898
115,울릉도독도(감),2020-10-17,417.8210852
115,울릉도독도(감),2020-10-18,418.7360575
115,울릉도독도(감),2020-10-19,419.5117246
115,울릉도독도(감),2020-10-20,419.6098566
115,울릉도독도(감),2020-10-21,417.8060624
115,울릉도독도(감),2020-10-23,418.8576698
115,울릉도독도(감),2020-10-25,416.674407
115,울릉도독도(감),2020-10-26,416.7374869
115,울릉도독도(감),2020-10-27,417.2699605
115,울릉도독도(감),2020-10-29,420.5612292
115,울릉도독도(감),2020-10-30,419.1225282
115,울릉도독도(감),2020-10-31,419.2386858
115,울릉도독도(감),2020-11-01,419.3253524
115,울릉도독도(감),2020-11-04,417.9767374
115,울릉도독도(감),2020-11-05,418.4374462
115,울릉도독도(감),2020-11-10,419.2739136
115,울릉도독도(감),2020-11-11,419.1131624
115,울릉도독도(감),2020-11-14,417.8769649
115,울릉도독도(감),2020-11-17,417.0438779
115,울릉도독도(감),2020-11-19,419.4106294
115,울릉도독도(감),2020-11-21,419.2205447
115,울릉도독도(감),2020-11-22,419.7246053
115,울릉도독도(감),2020-11-23,419.2987692
115,울릉도독도(감),2020-11-24,419.8714745
115,울릉도독도(감),2020-11-25,419.1973825
115,울릉도독도(감),2020-11-26,421.2352362
115,울릉도독도(감),2020-11-27,422.3781998
115,울릉도독도(감),2020-11-28,420.681908
115,울릉도독도(감),2020-11-29,419.027846
115,울릉도독도(감),2020-11-30,418.7203034
115,울릉도독도(감),2020-12-01,418.6084136
115,울릉도독도(감),2020-12-02,418.1916533
115,울릉도독도(감),2020-12-03,417.0811964
115,울릉도독도(감),2020-12-04,418.1718506
115,울릉도독도(감),2020-12-05,418.900679
115,울릉도독도(감),2020-12-06,419.6613528
115,울릉도독도(감),2020-12-08,419.2612853
115,울릉도독도(감),2020-12-09,418.7255256
115,울릉도독도(감),2020-12-10,420.1144894
115,울릉도독도(감),2020-12-12,421.203897
115,울릉도독도(감),2020-12-13,419.5997663
115,울릉도독도(감),2020-12-14,420.7068455
115,울릉도독도(감),2020-12-15,420.9716347
115,울릉도독도(감),2020-12-16,420.5889507
115,울릉도독도(감),2020-12-17,420.6038491
115,울릉도독도(감),2020-12-18,420.6663379
115,울릉도독도(감),2020-12-19,419.8223124
115,울릉도독도(감),2020-12-20,419.5313714
115,울릉도독도(감),2020-12-21,419.0341263
115,울릉도독도(감),2020-12-22,421.9039324
115,울릉도독도(감),2020-12-25,421.1460608
115,울릉도독도(감),2020-12-30,423.0978124
115,울릉도독도(감),2020-12-31,420.8949636
115,울릉도독도(감),2021-01-01,420.9579625
115,울릉도독도(감),2021-01-02,420.1488628
115,울릉도독도(감),2021-01-03,420.1903055
115,울릉도독도(감),2021-01-04,420.3703218
115,울릉도독도(감),2021-01-05,420.6791624
115,울릉도독도(감),2021-01-06,420.736052
115,울릉도독도(감),2021-01-07,421.6908237
115,울릉도독도(감),2021-01-08,421.1525293
115,울릉도독도(감),2021-01-09,421.2388909
115,울릉도독도(감),2021-01-10,422.9216819
115,울릉도독도(감),2021-01-11,422.2348339
115,울릉도독도(감),2021-01-12,421.9568288
115,울릉도독도(감),2021-01-14,422.3876907
115,울릉도독도(감),2021-01-15,423.8620688
115,울릉도독도(감),2021-01-16,423.6745717
