년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시
2025,08,14,155381,102903,84685,18218,21.5,2025/08/14(19:00)
2025,08,13,155381,102301,85279,17022,20,2025/08/13(19:00)
2025,08,12,155367,103327,85223,18104,21.2,2025/08/12(17:00)
2025,08,11,155367,103116,85071,18045,21.2,2025/08/11(15:00)
2025,08,10,155367,101346,73104,28242,38.6,2025/08/10(20:00)
2025,08,09,155367,99757,72350,27407,37.9,2025/08/09(12:00)
2025,08,08,155367,104122,84820,19302,22.8,2025/08/08(17:00)
2025,08,07,155367,103624,87053,16571,19,2025/08/07(19:00)
2025,08,06,155367,105126,87801,17325,19.7,2025/08/06(15:00)
2025,08,05,155308,104583,87891,16692,19,2025/08/05(19:00)
2025,08,04,155308,104736,86074,18662,21.7,2025/08/04(19:00)
2025,08,03,155308,102189,76329,25860,33.9,2025/08/03(19:00)
2025,08,02,155308,102020,80532,21488,26.7,2025/08/02(20:00)
2025,08,01,155308,104651,85678,18973,22.1,2025/08/01(20:00)
2025,07,31,155308,103514,86203,17311,20.1,2025/07/31(20:00)
2025,07,30,155308,104699,87806,16893,19.2,2025/07/30(18:00)
2025,07,29,155279,104001,90991,13010,14.3,2025/07/29(19:00)
2025,07,28,155279,103747,90985,12762,14,2025/07/28(19:00)
2025,07,27,155279,100874,82696,18178,22,2025/07/27(20:00)
2025,07,26,155279,100562,82821,17741,21.4,2025/07/26(20:00)
2025,07,25,155279,105584,90528,15056,16.6,2025/07/25(19:00)
2025,07,24,155279,106120,91379,14741,16.1,2025/07/24(19:00)
2025,07,23,155279,106061,89515,16546,18.5,2025/07/23(19:00)
2025,07,22,155242,105541,88890,16651,18.7,2025/07/22(19:00)
2025,07,21,155242,105513,86584,18929,21.9,2025/07/21(19:00)
2025,07,20,155242,101687,73579,28108,38.2,2025/07/20(20:00)
2025,07,19,155242,102900,70401,32499,46.2,2025/07/19(20:00)
2025,07,18,155242,105301,81588,23713,29.1,2025/07/18(17:00)
2025,07,17,155242,104436,82505,21931,26.6,2025/07/17(15:00)
2025,07,16,155242,104496,82918,21578,26,2025/07/16(11:00)
2025,07,15,155040,105859,78825,27034,34.3,2025/07/15(17:00)
2025,07,14,155040,106990,80116,26874,33.5,2025/07/14(17:00)
2025,07,13,155040,101057,71975,29082,40.4,2025/07/13(20:00)
2025,07,12,155040,100380,77144,23236,30.1,2025/07/12(20:00)
2025,07,11,155040,104489,87206,17283,19.8,2025/07/11(19:00)
2025,07,10,155040,105730,90717,15013,16.5,2025/07/10(19:00)
2025,07,09,155040,105326,92685,12641,13.6,2025/07/09(19:00)
2025,07,08,154955,105151,95675,9476,9.9,2025/07/08(18:00)
2025,07,07,154955,103441,93374,10067,10.8,2025/07/07(19:00)
2025,07,06,154955,96613,78705,17908,22.8,2025/07/06(20:00)
2025,07,05,154955,98867,77901,20966,26.9,2025/07/05(20:00)
2025,07,04,154955,100104,84920,15184,17.9,2025/07/04(17:00)
2025,07,03,154955,101520,89103,12417,13.9,2025/07/03(19:00)
2025,07,02,154955,101929,89069,12860,14.4,2025/07/02(19:00)
2025,07,01,154917,100114,89209,10905,12.2,2025/07/01(19:00)
2025,06,30,154917,99615,85599,13216,15.4,2025/06/30(19:00)
