일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2025-06-12",KAU24,"8,770",40,"0.46","8,720","8,790","8,720","143,017","1,251,186,800","8,749"
"2025-06-12",KAU25,"8,860",0,"0.00","0","0","0","0","0","0"
"2025-06-12",KCU24,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-12",KCU25,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-12",KOC21-26,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-12",KOC22-27,"11,600",0,"0.00","0","0","0","0","0","0"
"2025-06-12",KOC23-28,"14,500",0,"0.00","0","0","0","0","0","0"
"2025-06-12",KOC24-29,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-12",KOC25-30,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-12",i-KCU24,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-12",i-KCU25,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-12",i-KOC21-26,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-12",i-KOC22-27,"10,000",0,"0.00","0","0","0","0","0","0"
"2025-06-12",i-KOC23-28,"9,800",0,"0.00","0","0","0","0","0","0"
"2025-06-12",i-KOC24-29,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-12",i-KOC25-30,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-11",KAU24,"8,730",-60,"-0.68","8,700","8,770","8,700","65,237","569,815,910","8,735"
"2025-06-11",KAU25,"8,860",0,"0.00","0","0","0","0","0","0"
"2025-06-11",KCU24,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-11",KCU25,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-11",KOC21-26,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-11",KOC22-27,"11,600",0,"0.00","0","0","0","0","0","0"
"2025-06-11",KOC23-28,"14,500",0,"0.00","0","0","0","0","0","0"
"2025-06-11",KOC24-29,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-11",KOC25-30,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-11",i-KCU24,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-11",i-KCU25,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-11",i-KOC21-26,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-11",i-KOC22-27,"10,000",0,"0.00","0","0","0","0","0","0"
"2025-06-11",i-KOC23-28,"9,800",0,"0.00","0","0","0","0","0","0"
"2025-06-11",i-KOC24-29,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-11",i-KOC25-30,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-10",KAU24,"8,790",-40,"-0.45","8,700","8,790","8,700","164,988","1,437,974,680","8,716"
"2025-06-10",KAU25,"8,860",0,"0.00","0","0","0","0","0","0"
"2025-06-10",KCU24,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-10",KCU25,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-10",KOC21-26,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-10",KOC22-27,"11,600",0,"0.00","0","0","0","0","0","0"
"2025-06-10",KOC23-28,"14,500",0,"0.00","0","0","0","0","0","0"
"2025-06-10",KOC24-29,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-10",KOC25-30,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-10",i-KCU24,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-10",i-KCU25,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-10",i-KOC21-26,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-10",i-KOC22-27,"10,000",0,"0.00","0","0","0","0","0","0"
"2025-06-10",i-KOC23-28,"9,800",0,"0.00","0","0","0","0","0","0"
"2025-06-10",i-KOC24-29,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-10",i-KOC25-30,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-09",KAU24,"8,830",0,"0.00","8,820","8,830","8,800","121,319","1,068,634,110","8,808"
"2025-06-09",KAU25,"8,860",0,"0.00","0","0","0","0","0","0"
"2025-06-09",KCU24,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-09",KCU25,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-09",KOC21-26,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-09",KOC22-27,"11,600",0,"0.00","0","0","0","0","0","0"
"2025-06-09",KOC23-28,"14,500",0,"0.00","0","0","0","0","0","0"
"2025-06-09",KOC24-29,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-09",KOC25-30,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-09",i-KCU24,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-09",i-KCU25,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-09",i-KOC21-26,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-09",i-KOC22-27,"10,000",0,"0.00","0","0","0","0","0","0"
"2025-06-09",i-KOC23-28,"9,800",0,"0.00","0","0","0","0","0","0"
"2025-06-09",i-KOC24-29,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-09",i-KOC25-30,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-05",KAU24,"8,830",-30,"-0.34","8,860","8,860","8,820","51,416","454,210,020","8,834"
"2025-06-05",KAU25,"8,860",0,"0.00","0","0","0","0","0","0"
"2025-06-05",KCU24,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-05",KCU25,"9,000",0,"0.00","0","0","0","0","0","0"
"2025-06-05",KOC21-26,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-05",KOC22-27,"11,600",0,"0.00","0","0","0","0","0","0"
"2025-06-05",KOC23-28,"14,500",0,"0.00","0","0","0","0","0","0"
"2025-06-05",KOC24-29,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-05",KOC25-30,"11,850",0,"0.00","0","0","0","0","0","0"
"2025-06-05",i-KCU24,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-05",i-KCU25,"15,450",0,"0.00","0","0","0","0","0","0"
"2025-06-05",i-KOC21-26,"12,400",0,"0.00","0","0","0","0","0","0"
"2025-06-05",i-KOC22-27,"10,000",0,"0.00","0","0","0","0","0","0"
"2025-06-05",i-KOC23-28,"9,800",0,"0.00","0","0","0","0","0","0"
